,0
1156,id: FFmN7Cq7m5c
1157,both of these breakfasts contain about 750 calories this is a double chocolate chip Frappuccino from Starbucks and a blueberry muffin combined these contain 81 G of processed sugar that's the equivalent of 23 packages of sugar while this breakfast of strawberries raspberries whipped cream raw milk three hard whed eggs a tablespoon of honey contains z g of processed sugar and it also contains so many important vitamins and minerals to fuel you throughout the day this meal costs about $1 50 this meal $5.50 and eating this breakfast is going to leave you full and brimming with energy throughout the morning while eating this breakfast is almost certainly going to lead to a mid- morning energy crash and that's no fun the more you choose breakfasts of unprocessed plant and animal foods and the more you avoid Ultra processed foods like this the healthier and more vital you're going to be and the better you are going to feel long term and in this case you'll even save some money in the process 
1158,id: NsldzDNukCg
1159,if you control the food you can control the people we're being told that it's going to destroy the environment to eat natural food in order to change the weather in order to save the environment we need to eat Ultra processed food that's just insane working for the food companies I can tell you this we were well aware that climate anxiety that you could Stoke that in order to change people's behavior it's crazy to think that these processed food companies like Coca-Cola know that if you stoke climate anxiety you can get people to change their behavior meat is not the problem it's incredibly nutritious for humans when raised properly it is part of the solution if we create systems that are regenerative cows on the land grazing moving rotating in the pastures that that is carbon neutral or carbon negative that regenerates the land meat and animal foods are one of the most valuable vital parts of a healthy human diet we need to be supporting raising of these animals properly and that will both nourish people and nourish the ecosystems and help the planet as well 
1160,id: es5kIpecHKs
1161,if you use a plastic cutting board you are eating plastic specifically you are eating massive amounts of microplastics small fragments of the plastic cutting board that get into your body and cause harm hormonal disruption infertility all sorts of problems for humans are associated with microplastics and they are everywhere in our environment right now researchers estimate that if you are using a plastic cutting board you are eating the equivalent of between two and 10 credit cards every year microplastics are no joke they are perv in our environment switch to a wood cutting board please 
1162,id: ZYuHFwZbFZg
1163,at a seed oil free restaurant I use this app called seed oil Scout and I found this restaurant in Costa Rica it's pretty rad you can see here on the menu 100% seed oil free they only use buffalo butter and olive oil to cook their food in I'm so stoked that this movement is growing and that restaurants are taking note of the fact that their consumers their customers don't want their steak or chicken or fish cooked garbage seed oils so Props to this restaurant in Costa Rica for ditching the seed oils and I'm G to get a huge steak here 
1164,id: m1tmB2GAZmI
1165,Americans use over a billion toothbrushes a year apparently every toothbrush that's ever been created since 1930s is still in existence either in the form of a toothbrush that hasn't fully biodegraded or the microplastics that are breaking down from the actual toothbrush shaft these nylon bristles take 400 years to break down talk about unsustainable yes I think it's important to brush your teeth but use something natural use a bamboo toothbrush use something like a bores hair for the bristles that's a much more sustainable solution then this whole wall of plastics which are going to become microplastics which leech into the ground which Lee into your water supplies which then end up in your food a billion toothbrushes a year a billion toothbrushes a year crazy 
1166,id: vvNN8Hk-msk
1167,[Music] [Laughter] okay this video is amazing this little boy on a farm drinking what appears to be raw milk directly from an udder and then mooing that's rad but also what's incredible about raw milk and one of the reasons I'm such a fan is that there are multiple studies showing that kids like this one who grow up drinking raw unpasteurized milk on or off Farms have lower rates of asthma eczema and Allergy seasonal allergies when they're adults even if you have lactose intolerance many people find that over time the naturally occurring organisms in raw milk change the gut flora and allow you to digest lactose I used to be lactose intolerant now I can drink a significant amount of raw cow's milk or raw goats milk completely different than pasteurized milk and I hope that in the future more people will have access to well produced raw dairy 
1168,id: C7UFZofkPuM
1169,this is why you should take your shoes off when you enter your home you might even have mold grown on I definitely have mold you do I'm here with Ryan a building biologist and environmental toxicologist this is what he thinks so when we're out in the general public and we're walking around outside we're walking through oil gas when we're filling up our cars we're going to the public bathrooms there's toxic chemicals from cleaning and then we go walk through the park and we have pesticides and herbicides all these things we can track into our home we get them on the floor and especially if we have little ones that are craing around that stuff's going to end up in their mouth they're going to get it inside their body and it's not a good thing knowledge is power know better do better take your shoes off before you walk in your home 
1170,id: VeQkcv8v3gA
1171,look at this guys American Heart Association certified you can buy this label this is about 55% linolic acid and we know that high linolic acids like soybean oil contribute to oxidation of your LDL cholesterol which is a clear precursor to cardiovascular disease and yet the American Heart Association certifies this as a healthy oil and they're trying to get you to eat garbage seed oils like soybean oil don't fall for it eat animal fats 
1172,id: HRO1us-xI3E
1173,there is a new study out there that's talking about how eating too much red meat is strongly associated with developing type 2 diabetes what they found is even less than one serving a day on average was associated with an increased risk but the good news is if you ate just a half a serving a day of nuts and legumes you could lower that risk by as much as 30% if not more just not have your steak and eat some nuts there we go there you go first of all there's no mechanism by which red meat can cause diabetes but red meat always gets blamed red meat is the scapegoat it will always be the scapegoat it always gets blamed but it is just not the culprit that meat is an incredibly nutrient rich food for humans it's never been shown to be inflammatory for humans in unprocessed forms but still we get studies published like this from Harvard showing that red meat is consistently associated with diabetes it's really embarrassing and it's silly what this study shows us is that people who eat red meat in the general American population tend to have other unhealthy behaviors and it's very likely those unhealthy behaviors that we see leading them to have more diabetes not the red meat 
1174,id: dOnDM5NpECs
1175,"both of these meals contain 1,600 calories this cost me $23 this cost me $115.50 but you are going to be much more full for longer with better energy if you eat unprocessed foods like this versus Five Guys I've got a burger from Five Guys fortunately 100% beef but there's definitely seed oils in the Mayo in here and the milkshake here contains 82 G of processed sugar that's the equivalent of 23 sugar packets over here we've got two grass-fed beef burgers you got 3 oz of raw cheese a sweet potato half an avocado grilled peppers and squash fresh squeezed orange juice another orange for good measure and kiwi we know very clearly that when you eat Ultra processed foods like this you are going to be hungrier sooner and overeat leading to weight gain and when you eat whole animal and plant foods like this you are going to be less hungry and you will have an easier time losing weight you will feel better and be healthier long term even though both of these meals are, 1600 calories it's no question which is better for you in the long run I'm choosing this "
1176,id: mDpL3iHtaw8
1177,even plant-based Burgers know that there's something up with plant-based food you can get Beyond burgers at Sam's Club and I find it hilarious that on this plant-based patties these plant-based Burgers they advertise there's no soy and no gluten so even within the plant-based movement they realize that soy and gluten are total [ __ ] but wait a minute how many other plant-based foods are made with soy and gluten a ton it's hilarious to me that even within the plant-based movement even with a vegan food they're starting to infight and say well our vegan foods don't have soy because we all know this is harmful for us really humans should just be eating real meat that's where the nutrients are this is just a sign of things to come and I think the complete collapse of these plant-based Foods because nobody wants to eat this stuff anyway 
1178,id: H_Y-3hPsVfc
1179,this is the McDonald's play pen this is actually a pretty freaking amazing playground but it's in McDonald's you think that anytime a kid drives by McDonald's in the car with their parents they're not going to say Mom Dad I want to go to the play place of McDonald's and when they get in here they're not going to say can I get a Happy Meal can I get french fries can I get chicken nuggets that you know are cooked in seed oils that are full of harmful things preservatives poly sorb 80 high fructose corn syrup this is clearly here to trick you and your kids to get them addict to junk food at places like McDonald's this is a great freaking playground I love the idea of getting kids to actually move but doing it here is Sinister shame on you McDonald's 
1180,id: vqY6QyV_IlI
1181,here are three reasons you should eat more red meat red meat and organs are some of the most nutrient-dense Foods on the planet eating red meat foods like liver and heart will simply improve the quality of your life your energy your sleep your libido because of the unique micronutrients they contain that are difficult to find other Foods especially in plant Foods red meat and organs contain some of the most bioavailable protein on the planet far more bioavailable than plant Foods more bioavailable protein means more muscle mass higher metabolism stronger joints and ligaments which leads to increase resilience from injury faster recovery and finally grass-feeding grass finishing cattle like is done on this regenerative farm and Australia is carbon negative it improves the quality of the soil and sequesters more carbon into the soil than is created in the production of the meat from these animals regenerative agriculture is part of the solution to the environmental issues we have on this planet now by regenerating the land and being carbon negative this is why you should eat more meat and organs 
1182,id: 22HuFL6CgnU
1183,if you're buying diapers for your child know what's in them I would look for something that's free from fragrance which is going to be phalates and other xenoestrogen hormone disrupting compounds chlorine bleaches parabens which are also fragrances and latex if you want to buy a diaper know what's in it and get something that's free of all those things because if you have xenoestrogens if you have hormone disrupting compounds in your child's diaper that's going to be absorbed by your child as they're developing in childhood that's not a good thing so what we put on our child's skin what we put on our skin and the clothes we wear this gets into our bodies know it's going in your child's skin 
1184,id: b3rUWH3-2RU
1185,Marilyn Monroe ate a breakfast of milk with raw eggs every morning and ate liver for dinner Angelina Jolie has said that steak is her beauty secret and that a vegan diet nearly killed her because she wasn't getting enough nutrition listen this is simple if you want to be beautiful if you want to be handsome if you want to thrive you eat steak include animal products in your diet include raw milk include eggs include liver include steak that is how you thrive plain and simple listen to Angelina Jolie and Marilyn Monroe I need to go find some steak 
1186,id: AYYIth4Lehc
1187,you ask me what I think about chicken here's the deal chicken is meat it's an animal doesn't contain defense chemicals I think it's much better than eating a ton of plant Foods processed plant Foods or Garbage processed foods but when it comes to chicken versus red meat I'm much more a fan of beef and bison than I am of chicken because even the best chickens organic chickens are going to be fed corn and soil they're going to be fed grains they're going to be fed foods that are not evolutionarily appropriate for the chickens I think that the way for humans to thrive is to make the majority of your diet red meat beef grass-fed beef beef bison things like this lamb venison if you want to eat chicken occasionally that's great but it's very hard to find chicken that's actually fed what chickens are supposed to eat 
1188,id: AM5vtp8_be8
1189,I don't drink coffee but if I did here's how I would do it I would start with a good organic coffee I would only brew that coffee with spring water or reverse osmosis water I would not brew the coffee in a coffee pot like this because of all the condensation in here from the hot water that could lead to leeching of components from the plastic hormone disrupting components from the plastic into your coffee what I would use instead is something like a French press or a pourover style for the coffee I would wait 90 minutes after I woke up to drink the coffee and not drink the coffee after 12:00 p.m. if I were going to have cream or milk I would use a raw cream or milk if I were going to have sugar I would use a raw honey and if I were drinking coffee during the day I would be sure to replenish minerals that will be lost from the caffeine that you're drinking with the coffee getting plenty of good things like a natural sea salt coconut water or orange juice other fruit juices to replenish the minerals that are lost 
1190,id: tvWdsPxS84c
1191,this is what I use for shampoo and soap come in my shower as you can see there's nothing here I don't use shampoo I don't use soap I just shower in water why do I do this so many shampoos and soaps are full of phalates parabens fragrances these are hormone disrupting chemicals I don't want to smell like a shampoo or a fake chemical scent in a soap I just want to smell like a human don't smell I promise you guys if you have a bad odor it's probably because of something going on with your gut what you're eating fix those things and you'll be healthier and you will smell less bad this will blow your mind you can just get the dirt off your skin by using water now I know that some of you may use lotions or other oil based things or makeups and in that case there are natural ways to get these off your skin like apple cider vinegar if you really need to there are companies that make good Tallow based soaps and even some Tallow based shampoos look for the smallest number of ingredients no phalates no parabens no other garbage in there for sure 
1192,id: W_vKL3_nyTE
1193,seed oils and ice cream that is crazy butter pean ice cream man I used to love this when I was a kid cotton seed oil is the fifth ingredient in there do we even wonder why our kids are getting fat sick and unhealthy and as adults we are generally anxious depressed and not living our best lives it's just because these garbage ingredients are infiltrating so many of our Foods read the labels get these seed oils out of your diet completely 
1194,id: hNjuesC7x7A
1195,it's really clear that there's something going on with these non-nutritive sweeteners I have seen so many cases of people who are trying to lose weight drinking six Diet Cokes a day they're saying look I'm getting zero calories in here and nothing will budge substitute soda water for the diet coke for a month and the world changes W I think Peter is right here and it speaks to the value of clinical judgment even sometimes when that clinical judgment has not had full randomized control trials to support it certainly there is some literature in animal models to suggest that these artificial sweeteners affect the gut Flora in negative ways and there's some preliminary research in humans suggesting that sucrose when consumed with carbohydrates will affect insulin signaling on the flip side there are metaanalyses of artificial sweeteners in drinks suggesting that they are neutral or even potentially positive for weight loss these are sweeteners that we would never have been exposed to evolutionarily as humans there's no nutritional value to these I think you will be healthier without them 
1196,id: tZ9tYFDjeig
1197,seed oils in your Healthy sunscreen many of these healthy alternative sunscreens contain seed oils just like you don't want to eat seed oils you do not want to put seed oils on your skin because that seed oil is then going to go into your skin into your dermis and epidermis and accumulate in your cell membranes there making them fragile so that when they come in contact with the sun they get damaged making your own sunscreen or looking for a Tallow based sunscreen is probably the best option out there because a lot of these healthy alternative sunscreens are actually not that great I would never put them on my body and I would never recommend them you guys to put them on your skin when you're in the Sun for protection use something better use a tall based sunscreen or make your own 
1198,id: YH2yLu68OIk
1199,I made a meat stick with organs the first of its kind the only meat stick on the planet with liver and heart made entirely with grass-fed grass finished regeneratively raised beef sourc from some of the most incredible best Farms on the planet it took me and my team over 2 years to create this more than 50 trials but we nailed it it tastes amazing you can't even taste the organs in here they are incredible and the quality is unmatched I wanted to make something that I would be proud of that I would eat and my standards are really high and that I would really feel good about sharing with my family and my friends I'm so excited to share this with you guys it is available now you can find us at lineage provisions.com I think we've made the best meat sticks on the planet let us know what you think 
1200,id: TJtY8-5h_pY
1201,men who consume the most cheese have the lowest sperm counts and the worst motility morphology when you eat cheese you're eating something that's three4 fat you're gaining body weight I can reduce your testosterone level just by putting you on a Cheesy meaty diet because there's estrogen in the dairy itself an animal-based diet is just a recipe for hormone hay completely false there's a 2020 meta analysis which shows that low fat diets are in fact associated with lower amounts of testosterone in men there are Interventional studies in men showing that higher fat lower fiber diets lead to increases in testosterone in 6 to 18 year olds increased consumption of dairy was associated with a significantly higher probability of a lean body mass phenotype and in women trying to lose weight increased consumption of high protein higher Dairy diets led to more lean mass and less fat cheese also contains vitamin K2 which has been shown to decrease estrogen binding cheese contains CLA which increases testosterone and 
1202,id: Du9aNuJTWyE
1203,Farm ra salmon is colored if you look at the ingredients on farm raay salmon it's going to say salmon and then it's going to say some sort of a colorant farm- raised salmon is anything that says Atlantic salmon but doesn't say wild caught or wild raised these salmon are raised on farms they're fed horable food they're fed grains they're fed fish food which is full of things like paroro alalal compounds pfas which are also known as forever chemicals hormone disruptors it's full of BPA pcbs which are polychlorinated by fennels it's full of microplastics and all of those things get concentrated in an unhealthy fish rais in a pen eating garbage food eating basically the fish equivalent of processed food and the Flesh of that salmon is white but they add a dye to convince you to trick you into thinking that it's something like a wild salmon so when it comes to fish be careful a lot of fish is very high in heavy metals look for fish that is low in heavy metals and preferably not farm raised interestingly there are a couple of farm raised fish operations like copia that are trying to do this better they're actually testing their farm raised fish for BPA pfas heavy metals and you can do farm rais fish better if you're careful about what you feed the fish 
1204,id: Z3zT8KN6dtg
1205,here's my Sprouts grocery haul guys hot take Sprouts crushes Whole Foods way better than Whole Foods look at this I got bison and beef patties from force of nature Venison and beef patties from force of nature I got grass-fed beef liver at Sprouts I got raw cir I got raw goats milk cheddar raw grapes raw grapes organic grapes organic mandarins organic bimmons organic avocados organic pomegranate it's going to make some juice out of that and some organic grapefruit organs meat fruit the only thing I'm missing here is honey I can go grab some of that raw dairy sprouts good grocery holiday guys pretty easy 
1206,id: WpRIxx5XRd8
1207,this potentially cancer-causing chemical is probably on most of the food in your house right now glyphosate is the most widely used herbicide in the United States today and it is sprayed on so many of the foods we eat it's probably in your house right now in 2015 the international Agency on the research of cancer classified glyphosate as a group 2A carcinogen stating that it was probably carcinogenic cancer causing in humans and connecting it to Non-Hodgkins lymphoma so what's the answer here choose organic non-GMO food when you can with things like honey make sure that it's certified glyphosate free if you're eating meat opt for grass-fed grass-finished regeneratively raised beef preferably from small local farms and Farmers that you know those changes aren't always easy but doing those things will almost entirely reduce your exposure to glyphosate in your diet 
1208,id: KMTbFAz3deA
1209,How can there be 10 ingredients in pickles at McDonald's McDonald's pickles contain potassium sorbate a preservative with concerns that it will damage DNA genotoxicity and carcinogenicity that's cancer causing they also contain polysorbate 80 a thickening agent that has been studied in animal models and found there to cause damage to the intestinal lining that is leaky gut and decreased microbial diversity of the microbiome so that's not great these pickles also contain aluminum salts we know very clearly that increased amounts of aluminum in the human diet are associated with increased rates of dementia like Alzheimer the fact that there are 10 ingredients in these pickles is crazy it's made even worse by the fact that over 60% of our diet is ultr processed foods in the US and these things are harming us eating processed foods is a swift path to being fat to being unhealthy eventually to diabetes and other chronic disease if you truly want to thrive Eat Real Foods eat meat and make your own pickles just take a cucumber and put it in some salt and vinegar that'll be way better than this thing 
1210,id: kI2XPqhqVHg
1211,this liver contains more nutrients than kale you've been told that kale is a superfood and yeah this is better than an ultra processed food but my money is on liver and red meat when it comes to True superfoods just look at this chart look at the nutrients in liver versus the nutrients in kale in terms of nutrient density there's no comparison between what you get in liver and what you get in kale and there are so many nutrients found in animal foods like red meat and liver that simply don't occur in plant foods like kale one of the ultimate plant superfoods things like creatine carnitine ancine torine vitamin B12 vitamin K2 significant amounts of choline the list goes on and on we also know that protein and animal Foods is much more bioavailable than protein and plant Foods if we're talking Super Foods my money is right here on liver not this 
1212,id: batuBQZ8klw
1213,this is a jet lag hack grounding in connection with sunlight to reset the Circadian rhythm grounding in a particular place is connected with the Circadian rhythm so if you're traveling definitely put your feet on the grass 15 to 20 minutes get in the water a lake or an ocean I think that'll definitely help reset the sucan Rhythm along with the grounding of the earth pretty wild stuff 
1214,id: HWpnTZP4vi4
1215,look at how thin people were in New York City in 1945 this video is striking and incredible I don't really see a single person in this video who is obese and yet today in the United States 70% of people are obese and overweight you can see similar Trends even up to the 1950s and 1960s pictures of people on the beach they're thin pictures of people lined up for the first Star Wars movie generally pretty darn thin so what's happened well more than 60% of our diet today are ultr processed foods these are the foods that hijack the satiety systems in our brain and our guts and make us think that we are hungrier than we really are and they cause us to overeat if you want to feel better and lose weight eat the majority of your diet as meat as fruit and as unprocessed plant foods that is the simplest way to lose weight and become healthier we weren't always as sick as we are today just Look Back 40 50 60 70 years ago and the way back to health is easy 
1216,id: r0pbfMAapw4
1217,id: fUFjScdh6tw
1218,just anecdotally I've had several friends in their 40s and early 50s say they wanted to lose weight and get in shape the thing that's worked every single time and I just say eat meat fish eggs vegetables fruits you're not going to eat starches you're not going to drink alcohol you're not going to drink soda every one of those people is blown away by the fact that it quote unquote works and assumes that it's all because of reduced calorie intake overall they lose like anywhere from 30 to 55 lbs and keep it off and they like hey this is great this way of eating is powerful if you're trying to lose weight if you make those Foods the majority of your diet and you cut out things like ultr processed foods containing seed oils high fructose corn syrup processed grains artificial sweeteners fillers Etc you will lose weight and you will feel better and it will be pretty darn easy it's not a complete animal-based diet there's some vegetables in there which you can eat if they don't bother you and I wanted to Echo his sentiment that this type of a high quality diet will consistently lead to significant weight loss in a lot of humans without even having to count calories it's pretty cool 
1219,id: -i4NDImStFE
1220,vegans still crave meat don't believe me there's a very interesting study that shows that vegans and vegetarians when we put electrodes on their brain at a conscious level they may have an aversion to meat but at a deep seated evolutionary level they still have a positive response to things like meat and nutrient-rich foods like organs so why do you think the most successful plant-based companies make things that look like meat they make fake meat burgers and fake steaks because all of those well-intentioned vegans and vegetarians who are not eating the most nutrient Foods on the planet still want to think they're eating these foods and still are craving them at some unconscious level and so when they see them or they see some fa simile of them they're drawn to them that is because these are the foods that made us human these are the foods that humans have been eating for hundreds of thousands of years it's okay to eat meat choose regenerative if you're worried about the environment it's not bad for you please do not fear meat and organs these are the foods that help humans Thrive and fake impressions of these foist upon you by plant-based meat companies are no substitute 
1221,id: _JljWWlVUlU
1222,[Music] [Applause] [Music] h 
1223,id: TPT-w__JXWI
1224,I'm here at the farmers market come on so this is raw goats mil from my friend Rodrigo that's the gold half of a plantain tree right here grilled plantain will be amazing this is passion fruit why don't you try the aminos they're really good I will try some aminos they call them maminos or Rambo tansil I got MOS yes I'm going to get one of those papayas and get some oranges isn't orange juice just sugar water the answer is clearly no I will juice about five or six oranges for it's an incredible part of my morning what the chickens eat matters these young coconuts are the best you just crack them open and drink the water I don't eat the pp do the name this is what I'm looking for in a honey it's organic it's raw glyphosate free that's everything and this is one of the reasons I love living in Costa Ric farmers markets like this 
1225,id: eu_nLAqwl10
1226,so this is my this is like my favorite thing to do when I'm not surfing and yeah weightlifting this fourth or fifth not even [Music] [Music] third 
1227,id: TNNoFcJ1OW8
1228,this preeminent director of Avatar and so many movies is investing hundreds of millions of dollars in plant-based protein James Cameron I always think of testosterone is a toxin that you have to slowly work out of your system what is James Cameron smoking in this that's actually quite compatible with plant-based Foods right yeah the nutrients in meat real animal meat and organs these support male and female hormones the word carne or carnal these have the same roots that having a sex drive a libido is a healthy thing for humans those are so paralleled and ironic and also how how appropriate also doesn't believe that testosterone is important for humans well that's about the only way I think you could in good conscience believe that plant-based foods are good for humans because they're certainly going to affect your male hormones and female hormones in a negative way 
1229,id: oYYPUlLVNkc
1230,these foods should have a warning Label cigarettes have crazy warning labels look there's a guy there with a respirator and this guy has a tracheostomy it's gnarly we know that cigarettes are harmful for your lungs they cause cancer and all sorts of issues in humans well we also know very clearly that these kind of ultra processed junk Foods contribute to obesity diabetes cancer dementia so how come this doesn't have a warning label there should absolutely be a warning label on the side of a lay package that says this food contributes to obesity diabetes low libido erectile dysfunction later in life and a picture of someone getting dialysis or a picture of someone having their foot amputated because they have diabetes and a bad infection that should be on the side of a lzed potato chip bag just like it's on the side of a cigarette package right am I right this needs warning labels too who's with me 
1231,id: nfgG6N5pkzM
1232,id: 7MZvO4CDRS8
1233,I don't use toothpaste I know that causes your brain to go let me show you guys how I do this I use a natural fiber toothbrush so those are bores hair bristles they're not plastic and I just use water in my teeth like this I don't use toothpaste if you want to use toothpaste if your girlfriend is complaining there are natural toothpastes out there that have few ingredients don't use anything with fluoride and the fewest ingredients possible but the point of brushing your teeth is just to disrupt the bofilm you don't need toothpaste to do that and if you have bad breath it's because of your gut it's because of disbiosis in your gut not because you're not using a minty toothpaste my breath doesn't smell at all so I don't use toothpaste I think it's just kind of a Superfluous thing you can just brush your teeth with water it works just fine 
1234,id: xittdCv-hvs
1235,there's so much conflicting health information today there's another guy or girl saying Kale's the best thing on the Earth it's a bean diet spinach is amazing and celery juicing right and I'm going to say oh spinach is full of oxalates so if you've got issues maybe you know what I want people to think about or what I would suggest they think about is just how do you get the most nutrients with the least amount of toxins and then understand what your Baseline is so you can feel as good as possible and then navigate yourself because there's definitely bio-individuality and differences between humans in terms of what foods are really going to allow us to feel the best but that's the goal for humans to thrive yeah 
1236,id: qjIKsizQK7Q
1237,these type of supplements for M libido crack me up guys what they should have here next to all of these supplements is a freaking steak ground beef liver heart these are the things that are really going to support your M liido these are the things that have bioavailable nutrients like zinc selenium copper and bioavailable L Arginine and amino acids that are precursors that help you create nitric oxide for blood flow to important regions of your body that are involved in m abido and zinc to create testosterones you don't need any of these male enhancement supplements if you get rid of garbage Foods in your diet processed sugars high fructose corn syrup seed oils and you get a significant amount of red meat preferably grass-fed and organs in your diet those things are the true male libido boosters those things will improve your sex drive not this kind of stuff 
1238,id: 5k5w8az8BU8
1239,when I wake in the morning this is the Green Giant which has collagen peptide cinnamon creatine amino acids and I take around 60 pills I'll work out for an hour and then I'll eat this the super veggie 1 hour later I'll eat nutty pudding and I'll take the remaining pills the day which is around 40 hey what did he say that he takes 100 pills a day Brian is smart he's taking all of these supplements but isn't it interesting that there are many nutrients that occur predominantly or exclusively in red me organs that are associated with longevity and yet he's leaving red meat out of his diet wouldn't it just be easier to eat things like red meat and liver to get all of these nutrients that you're missing that are requiring you to take sometimes more than 100 pills a day there's lots of evidence that there are compounds in red meat like toine which is one of the supplements that Brian actually takes which extend lifespan across a variety of species in addition there are nutrients in red meat like vitamin B12 and creatine which also have a proong longevity effect 
1240,id: bCZa3pPzv1M
1241,processed foods are making you fat Ultra processed foods at places like McDonald's these foods are highly correlated with obesity here's a chart showing the highest rates of obesity that's being fat in the United States here's another chart showing the highest rates of ultr processed fast food consumption like McDonald's you see anything going on there those charts are almost exactly the same places in the United States where people eat the most Ultra processed foods are the places where people are the fattest is this any coincidence I doubt it Ultra processed foods make up more than 60 that's 60% of the American diet is it any wonder that we're all getting fatter sicker and unhealthier that obesity rates are climbing the diabetes rates are climbing that fertility is at an all-time low these are scary things and I believe they are strongly directly related to the excess consumption of these ultr processed foods if you want to be healthier step number one is so simple stop doing this stop eating Ultra processed foods you will be healthier there's no question about that end of story 
1242,id: 9inc4BTjYAc
1243,magnesium deficiency can contribute to poor sleep and magnesium deficiency is extremely common with over 56% of the world's population known to be deficient in magnesium how do you get enough magnesium in your diet on an animal- based diet this is how I do it milk is a great source forh squeezed orange juice meat is an amazing source of bioavailable magnesium heart and coconut water the time in my life when I had the most profound magnesium deficiency was when I was a raw vegan despite eating tons of leafy greens and tons of almonds foods that you are told are great sources of magnesium ium specifically magnesium in nuts or leafy greens is often bound up in things like phytic acid or can be bound by oxalates making it very poorly bioavailable so if you have issues sleeping or you just want to optimize the more than 300 biochemical reactions in your body that need magnesium and you want to be optimally healthy focus on getting the foods with bioavailable magnesium if you truly want to thrive 
1244,id: PQWQ_LAE9vU
1245,what is your secret to not freezing you eat steak dang it grassed Humane steak I need to go find some steak that's right she does need to go find some steak what's going on here is true red meat though it's been vilified though you've been told it's one of the worst foods on the planet for your health is actually full of so many unique nutrients that allow humans to thrive that support thyroid Health which are going to keep you warm when it's cold outside that support energy production that support V that support weight loss I mean all these people at this Golden Globes are trying to look elegant and great in their gowns well if you want to lose weight and you want to be less hungry including red meat especially from grass-fed regenerative sources like she suggests in this video are an amazing way to get there so I love it and I hope that more of Hollywood wakes up to the fact that plant-based diets are propaganda and that the true way to be beautiful healthy and vital and warm eat some red meat 
1246,id: cet7iqK8tZo
1247,this is the biggest secret at Sprouts Farmers Market that you don't know about this is a raw cafir from raw Farm in California I've been to this farm and they can sell this as a pet food it says it's a raw probiotic for dogs and cats but here's the secret this is the exact same raw milk cafir that is for humans this is human quality cafir mark it as a pet food so that they can get it to you in Sprouts all over the United States raw milk raw dairy raw cafir these are illegal to sell directly to consumers in grocery stores like this across the United States despite the fact that this is a super safe farm and it's are very valuable things for human gut health so in order to get this into the grocery store it's marketed as a pet food but it's not pet food this is human cafir it's super healthy for you cheers 
1248,id: rkFASSeIQZ0
1249,this nutrient is critical for heart health and it's nearly impossible to find in plant Foods I'm talking about vitamin K2 and liver is one of the best sources of vitamin K2 on the planet in population studies like the rdam study those who ate the highest amount of vitamin K2 from animal Foods things like meat eggs liver had the lowest rates of cardiovascular disease and yet I believe that the majority of us are not getting enough vitamin K2 every day we're told to eat less meat less red meat less eggs all these things and yet these are the best sources of this critical vitamin for the health of your heart unless you're eating Nat which is fermented soybeans and looks kind of gross you're not getting any vitamin K2 from plant Foods so to improve the health of your heart don't fear red meat don't fear liver don't fear egg yolks these are Health Foods 
1250,id: KPv79qt1I1c
1251,this is how to get more organs in your diet I got a grassfed grass finish regeneratively raised chuck steak here not good for grilling but really good for ground beef that goes into the grinder then I'm going to add some heart and some liver that is going to make the best hamburger ever how cool is that an easy way for me to make my own Primal ground beef these cuts are not going to be great steaks but the nutrition in there with the Harden liver challenge you to find anything better than that that's amazing 
1252,id: lqfeDmtppJA
1253,every nutrient that we know of for humans to thrive is in animal Foods is in meat and liver but where are the plant foods that contain vitamin K2 that contain creatine torine anine and carnitine and carnosine and for hydroxyproline which is a component of collagen those specific nutrients are all studied in beneficial for longevity and all of the nutrients I mentioned vitamin B12 vitamin K2 the list goes on and on are only found in animal Foods in any significant amount 
1254,id: LSY3J49Qpo4
1255,you've got a Pokémon Happy Meal here and you get Pokémon cards with your diabetes obesity depression and bad behavior inducing junk food I ate Happy Meals when I was a kid but let's see what's in here french fries 19 ingredients four different types of seed oils aluminum preservatives Silly Putty ingredients apple slices well at least that's okay hamburger the bun contains seed oils and processed sugars the pickles at McDonald's contain 10 ingredients thankfully most of the burgers at McDonald's are 100% beef so that's the least problematic part of this your milk which has sugar liquid sugar and kagenin but this is really sad guys in children over 67% of calories are for Ultra processed foods from a financial perspective Happy Meals don't make any sense either for $538 I can basically buy a pound of grass-fed ground beef and make my kid five grass-fed burgers without processed sugars high fructose corn seere multiple seed oils kagene and free from all of the propaganda that comes with this Happy Meal that in my opinion is a much better choice than this for your kids 
1256,id: RoifQibJXuY
1257,you are what you eat here are my thoughts for starters directed by a vegan the primary investigator in the study is a vegan who also is the head of the Stanford plant-based initiative which is funded by beyond meat vegan propaganda you can make an argument that it might have some conflicts of interests perhaps so what did the study actually find the vegan twins lost more weight than the omnivore twins but if you dig more into what actually happened you see that the researchers provided the vegan twins with less calories well that will result in more weight loss and in the examples of dexus scans shown in the documentary the vegan twins lost significantly more muscle mass than the omnivores in many cases resulting in a higher body fat percentage at the end of the study what is presented is the notion that the vegans lost more weight and because of that weight loss they had an improvement in insulin sensitivity but we also know that you can give someone a reduced calorie diet of anything including Twinkies which has been done and that results in Improvement in insulin sensitivity so this is my concern is that this is misleading people and harming them in the long run 
1258,id: QaIvsqqaRSo
